"Group","Title","Link","Lat","Lng","Year","key"
"Amarillo","Combate de Marmarajá","https://proyectomica.miraheze.org/wiki/Combate_de_Marmarajá","-34.20279219999998","-54.812547",1816,1
"Negro","Batalla de Laguna Cierva","https://proyectomica.miraheze.org/wiki/Batalla_de_Laguna_Cierva","-26.994457500000017","-58.47614829999999",1811,2
"Rojo","Combate de Arroyo de la China","https://proyectomica.miraheze.org/wiki/Combate_de_Arroyo_de_la_China","-32.52473699","-58.2309159",1812,3
"Rojo","Combate del Paso de Gualeguaychú","https://proyectomica.miraheze.org/wiki/Combate_del_Paso_de_Gualeguaychú","-32.956833","-58.460390399",1812,4
"Rojo","Combate de Gualeguay","https://proyectomica.miraheze.org/wiki/Combate_de_Gualeguay","-32.9489726","-59.4001617",1812,5
"Rojo","Batalla de La Cruz","https://proyectomica.miraheze.org/wiki/Batalla_de_La_Cruz","-28.69038437","-56.8640867299",1813,6
"Rojo","Batalla de Las Piedras","https://proyectomica.miraheze.org/wiki/Batalla_de_Las_Piedras","-34.720997","-55.961095",1814,7
"Rojo","Combate de Mandisoví o del Salto","https://proyectomica.miraheze.org/wiki/Combate_de_Mandisoví","-30.994474","-57.9912259",1815,8
"Rojo","Combate de Belén","https://proyectomica.miraheze.org/wiki/Combate_de_Belén","-30.9048852","-56.5137328",1816,9
"Rojo","Combate de Curuzú Cuatiá","https://proyectomica.miraheze.org/wiki/Combate_de_Curuzú_Cuatiá","-29.8041375","-58.23393272",1817,10
"Rojo","Batalla de Rincón","https://proyectomica.miraheze.org/wiki/Batalla_de_Rincón","-32.8470511","-56.409319",1818,11
"Rojo","Combate de Barra de Pos Pos","https://proyectomica.miraheze.org/wiki/Combate_de_Barra_de_Pos_Pos","-32.271391","-58.1526119",1819,12
"Rojo","Batalla de Colodrero","https://proyectomica.miraheze.org/wiki/Batalla_de_Colodrero","-28.2012949","-58.625415",1810,13
"Rojo","Batalla de Guayabos","https://proyectomica.miraheze.org/wiki/Batalla_de_Guayabos","-31.7369277","-56.6166683",1811,14
"Rojo","Batalla de Yeruá","https://proyectomica.miraheze.org/wiki/Batalla_de_Yeruá","-31.51980379","-58.0403225",1810,15
"Rojo","Batalla de Santiago del Estero","https://proyectomica.miraheze.org/wiki/Batalla_de_Santiago_del_Estero","-27.7796946","-64.2955441",1816,16
"Rojo","Combate de las Chacras de Andino","https://proyectomica.miraheze.org/wiki/Combate_de_las_Chacras_de_Andino","-31.62186939","-60.7233372",1816,17
"Azul","Combate de Cotagaita","https://proyectomica.miraheze.org/wiki/Combate_de_Cotagaita","-20.8136118","-65.6585407",1816,18
"Azul","Batalla de Suipacha","https://proyectomica.miraheze.org/wiki/Batalla_de_Suipacha","-21.5383178","-65.6011678",1816,19
